一 (ichi) - One
二 (ni) - Two
三 (san) - Three
四 (shi/yon) - Four
五 (go) - Five
六 (roku) - Six
七 (shichi/nana) - Seven
八 (hachi) - Eight
九 (kyū/ku) - Nine
十 (jū) - Ten
百 (hyaku) - Hundred
千 (sen) - Thousand
万 (man) - Ten thousand
円 (en) - Yen (Japanese currency)
口 (kuchi) - Mouth
目 (me) - Eye
耳 (mimi) - Ear
手 (te) - Hand
足 (ashi) - Leg/Foot
人 (hito) - Person
木 (ki) - Tree
山 (yama) - Mountain
川 (kawa) - River
天 (ten) - Heaven
地 (chi) - Earth
日 (hi/nichi) - Sun/Day
月 (tsuki/gatsu) - Moon/Month
火 (hi) - Fire
水 (mizu) - Water
金 (kin) - Gold/Metal
木 (moku) - Tree/Wood
土 (tsuchi/do) - Soil/Earth
空 (sora/kū) - Sky
風 (kaze/fū) - Wind
雨 (ame) - Rain
雪 (yuki) - Snow
花 (hana) - Flower
鳥 (tori) - Bird
魚 (sakana) - Fish
犬 (inu) - Dog
猫 (neko) - Cat
馬 (uma) - Horse
車 (kuruma) - Car
自 (ji) - Self
友 (tomo/yū) - Friend
家 (ie) - House
学 (gaku) - Study/Learn
校 (kō) - School
会 (kai) - Meeting
聞 (kiku/bun) - Listen/Ask
話 (hanashi) - Talk/Story
読 (yomu) - Read
書 (kaku/sho) - Write/Book
見 (miru) - See/Look
行 (iku/kō) - Go/行く
来 (kuru/rai) - Come/来る
食 (taberu/shoku) - Eat/Food
飲 (nomu) - Drink
寝 (neru) - Sleep
起 (okiru) - Wake up
着 (kiru/chaku) - Wear/Arrive
買 (kau) - Buy
売 (uru) - Sell
使 (tsukau) - Use
作 (tsukuru/saku) - Make/Create
知 (shiru/chi) - Know
考 (kangaeru/kō) - Think
聞 (kiku/bun) - Ask/Hear
答 (kotaeru/tō) - Answer
言 (iu/gen) - Say
話 (hanasu) - Speak
思 (omou/shi) - Think
急 (isogu/kyū) - Hurry
待 (matsu) - Wait
会 (au/kai) - Meet
見 (miru) - See
聞 (kiku) - Hear
読 (yomu) - Read
書 (kaku/sho) - Write
行 (iku/kō) - Go
来 (kuru/rai) - Come
開 (aku) - Open
閉 (tojiru) - Close
入 (hairu/nyū) - Enter
出 (deru/shutsu) - Exit
始 (hajimeru/shi) - Begin
終 (owaru/shū) - End/Finish
知 (shiru/chi) - Know
考 (kangaeru/kō) - Think
愛 (ai) - Love
