あい (ai) - love
きさ (kisa) - tree
くさ (kusa) - grass
せん (sen) - line
たけ (take) - bamboo
なつ (natsu) - summer
きん (kin) - gold
てん (ten) - sky
にん (nin) - person
こう (kou) - high
いけ (ike) - pond
しん (shin) - heart
りん (rin) - forest
しゅ (shu) - hand
ねこ (neko) - cat
とり (tori) - bird
むし (mushi) - insect
ひと (hito) - person
こえ (koe) - voice
やま (yama) - mountain
あさ (asa) - morning
いぬ (inu) - dog
はな (hana) - flower
やく (yaku) - role
ふく (fuku) - clothes
はし (hashi) - bridge
おおぞら (oozora) - sky (alternate reading)
ゆき (yuki) - snow
あめ (ame) - rain
はし (hashi) - chopsticks (same pronunciation as bridge)
きのこ (kinoko) - mushroom
みせ (mise) - shop
ほし (hoshi) - star
すい (sui) - water
うみ (umi) - sea
かぜ (kaze) - wind
はしら (hashira) - pillar
ゆうれい (yuurei) - ghost
けしき (keshiki) - scenery
わすれもの (wasuremono) - forgotten item

