あい (ai) - love
きさ (kisa) - tree
くさ (kusa) - grass
せん (sen) - line
たけ (take) - bamboo
なつ (natsu) - summer
きん (kin) - gold
てん (ten) - sky
にん (nin) - person
こう (kou) - high
いけ (ike) - pond
しん (shin) - heart
りん (rin) - forest
しゅ (shu) - hand
ねこ (neko) - cat
とり (tori) - bird
むし (mushi) - insect
ひと (hito) - person
こえ (koe) - voice
やま (yama) - mountain
あさ (asa) - morning
いぬ (inu) - dog
はな (hana) - flower
やく (yaku) - role
ふく (fuku) - clothes
はし (hashi) - bridge
おおぞら (oozora) - sky (alternate reading)
ゆき (yuki) - snow
あめ (ame) - rain
はし (hashi) - chopsticks (same pronunciation as bridge)
きのこ (kinoko) - mushroom
みせ (mise) - shop
ほし (hoshi) - star
すい (sui) - water
うみ (umi) - sea
かぜ (kaze) - wind
はしら (hashira) - pillar
ゆうれい (yuurei) - ghost
けしき (keshiki) - scenery
わすれもの (wasuremono) - forgotten item
あおい (aoi) - blue
あかい (akai) - red
いぬ (inu) - dog
ねこ (neko) - cat
はな (hana) - flower
みず (mizu) - water
いえ (ie) - house
きょう (kyou) - today
あした (ashita) - tomorrow
きんようび (kinyoubi) - Friday
にちようび (nichiyoubi) - Sunday
たべもの (tabemono) - food
ほん (hon) - book
ともだち (tomodachi) - friend
てがみ (tegami) - letter
ひるごはん (hirugohan) - lunch
さくらんぼ (sakuranbo) - cherry
さかな (sakana) - fish
かさ (kasa) - umbrella
あめ (ame) - rain
はる (haru) - spring
なつ (natsu) - summer
あき (aki) - autumn
ふゆ (fuyu) - winter
くるま (kuruma) - car
でんわ (denwa) - phone
ほし (hoshi) - star
つき (tsuki) - moon
たいよう (taiyou) - sun
くつ (kutsu) - shoes
ふく (fuku) - clothes
てがみ (tegami) - letter
さくら (sakura) - cherry blossom
りんご (ringo) - apple
きのこ (kinoko) - mushroom
いす (isu) - chair
つくえ (tsukue) - desk
ほんだな (hondana) - bookshelf
でんき (denki) - electricity
けしゴム (keshigomu) - eraser
けいたいでんわ (keitai denwa) - mobile phone
ねむい (nemui) - sleepy
しごと (shigoto) - work
しんぶん (shinbun) - newspaper
おんがく (ongaku) - music
えいご (eigo) - English
にほんご (nihongo) - Japanese language
さく (saku) - bloom
うま (uma) - horse
とり (tori) - bird
さらだ (sarada) - salad
かんじ (kanji) - Chinese characters
けんちく (kenchiku) - architecture
ちず (chizu) - map
くも (kumo) - cloud
さら (sara) - plate
くるま (kuruma) - car
いし (ishi) - stone
くさ (kusa) - grass
みち (michi) - road
さくらんぼ (sakuranbo) - cherry
あさごはん (asagohan) - breakfast
はし (hashi) - chopsticks
つくえ (tsukue) - desk
ほん (hon) - book
はいたつ (haitatsu) - delivery
ひこうき (hikouki) - airplane
くつ (kutsu) - shoes
えんぴつ (enpitsu) - pencil
けし (keshi) - eraser
くるま (kuruma) - car
うりば (uriba) - market
かぎ (kagi) - key
あかるい (akarui) - bright
くろい (kuroi) - black
しろい (shiroi) - white
みどり (midori) - green
あかるい (akarui) - bright
ゆめ (yume) - dream
たいせつ (taisetsu) - important
よる (yoru) - night
ほしい (hoshii) - want
うれしい (ureshii) - happy
かなしい (kanashii) - sad
さびしい (sabishii) - lonely
ねむい (nemui) - sleepy
あたらしい (atarashii) - new
ふるい (furui) - old
おおきい (ookii) - big
ちいさい (chiisai) - small
はやい (hayai) - fast
おそい (osoi) - slow
わかい (wakai) - young
ふとい (futoi) - fat
やせい (yasei) - thin
うまれる (umareru) - to be born
しぬ (shinu) - to die
いく (iku) - to go
くる (kuru) - to come
あるく (aruku) - to walk
